Market,Sub-Category,Year,Week_of_Year,Month,Quarter,Season,Promotion_Flag,Discount,Sales,Quantity,week_sin,week_cos,year_week,year_week_date,Sales_lag_1,Sales_lag_4,Sales_lag_12,Sales_roll_mean_4,Sales_roll_mean_12,Sales_roll_std_4,Sales_roll_std_12,Quantity_lag_1,Quantity_lag_4,Quantity_lag_12,Quantity_roll_mean_4,Quantity_roll_mean_12,Quantity_roll_std_4,Quantity_roll_std_12
APAC,Accessories,2011,17,4,2,Spring,1.0,0.45,659.7855,13,0.8854560256532099,-0.4647231720437685,2011-17,2011-04-25,175.9176,185.19,519.6828,281.870775,307.57005,253.04620843079724,196.71217762489945,4.0,5.0,10.0,6.5,6.166666666666667,4.509249752822893,4.58918359412718
APAC,Accessories,2011,18,5,2,Spring,0.0,0.0,498.39,7,0.8229838658936565,-0.5680647467311557,2011-18,2011-05-02,659.7855,122.76,110.808,375.778275,339.86854999999997,243.84900563812533,193.2570405294062,13.0,3.0,3.0,7.5,6.5,3.8729833462074157,4.482288376589473
APAC,Accessories,2011,19,5,2,Spring,0.5,0.25,364.4805812025736,18,0.7485107481711013,-0.663122658240795,2011-19,2011-05-09,498.39,169.02,440.88,424.64342030064336,333.5019317668811,205.11334797721014,190.87053060127352,7.0,6.0,4.0,10.5,7.666666666666667,6.244997998398397,5.482755334738735
APAC,Accessories,2011,21,5,2,Autumn,0.5,0.05000000000000001,1218.3,19,0.5680647467311558,-0.8229838658936564,2011-21,2011-05-23,364.4805812025736,175.9176,257.85,685.2390203006435,413.5394317668811,375.32227148308755,316.3742812018883,18.0,4.0,2.0,14.25,9.083333333333334,5.499999999999999,6.052172162024794
APAC,Accessories,2011,22,6,2,Spring,0.4,0.04,1233.3525812025737,23,0.46472317204376906,-0.8854560256532096,2011-22,2011-05-30,1218.3,659.7855,266.43,828.6307906012869,494.11631353376225,461.9293658857244,390.05365043982135,19.0,13.0,3.0,16.75,10.75,6.849574196011505,6.916712303609937
APAC,Accessories,2011,23,6,2,Autumn,0.75,0.25,506.025,8,0.35460488704253584,-0.9350162426854147,2011-23,2011-06-06,1233.3525812025737,498.39,234.35250000000002,830.5395406012868,516.7556885337623,460.122143294231,381.3939069474205,23.0,7.0,5.0,17.0,11.0,6.377042156569663,6.741998624632419
APAC,Accessories,2011,24,6,2,Spring,0.5,0.225,195.675,7,0.23931566428755768,-0.970941817426052,2011-24,2011-06-13,506.025,364.4805812025736,687.957,788.3381453006434,475.7321885337623,520.8503817363861,387.7279064331477,8.0,18.0,17.0,14.25,10.166666666666666,7.973915809270458,6.548189664234526
APAC,Accessories,2011,25,6,2,Winter,1.0,0.2233333333333333,564.2952,11,0.12053668025532308,-0.992708874098054,2011-25,2011-06-20,195.675,1218.3,379.89,624.8369453006435,491.09928853376226,436.750438161022,387.2380208189387,7.0,19.0,9.0,12.25,10.333333333333334,7.365459931328117,6.541244437251889
APAC,Accessories,2011,26,6,2,Winter,0.5,0.05,651.1665812025735,9,-3.216245299353273e-16,-1.0,2011-26,2011-06-27,564.2952,1233.3525812025737,185.19,479.29044530064346,529.9306703006434,198.2588137108761,377.0016473676865,11.0,23.0,5.0,8.75,10.666666666666666,1.7078251276599323,6.343691688790071
APAC,Accessories,2011,27,7,3,Summer,1.0,0.42500000000000004,215.7,4,-0.12053668025532283,-0.992708874098054,2011-27,2011-07-04,651.1665812025735,506.025,122.76,406.70919530064344,537.6756703006434,234.95581618302924,368.74058415121357,9.0,8.0,3.0,7.75,10.75,2.9860788111948193,6.239536696087151
APAC,Accessories,2011,28,7,3,Summer,0.5,0.2,321.79200000000003,8,-0.23931566428755743,-0.9709418174260521,2011-28,2011-07-11,215.7,195.675,169.02,438.23844530064343,550.4066703006434,203.5614818869128,357.3157017550345,4.0,7.0,6.0,8.0,10.916666666666666,2.9439202887759484,6.126816366423818
APAC,Accessories,2011,29,7,3,Summer,1.0,0.47,108.6288,2,-0.3546048870425356,-0.9350162426854148,2011-29,2011-07-18,321.79200000000003,564.2952,175.9176,324.3218453006434,544.7992703006433,234.63168056312568,364.1887529618813,8.0,11.0,4.0,5.75,10.75,3.3040379335998344,6.355026643245771
APAC,Accessories,2011,30,7,3,Summer,1.0,0.47,439.5237,12,-0.46472317204376806,-0.8854560256532101,2011-30,2011-07-25,108.6288,651.1665812025735,659.7855,271.4111250000001,526.4441203006434,141.89419205881018,363.4163777675577,2.0,9.0,13.0,6.5,10.666666666666666,4.4347115652166895,6.329344836600865
APAC,Accessories,2011,31,8,3,Summer,0.4,0.18,804.0795,18,-0.5680647467311556,-0.8229838658936566,2011-31,2011-08-01,439.5237,215.7,498.39,418.5060000000001,551.9182453006434,291.2536949644759,371.88626044523954,12.0,4.0,7.0,10.0,11.583333333333334,6.733003292241386,6.542981435141478
