Market,Sub-Category,Year,Week_of_Year,Month,Quarter,Season,Promotion_Flag,Discount,Sales,Quantity,week_sin,week_cos,year_week,year_week_date,Sales_lag_1,Sales_lag_4,Sales_lag_12,Sales_roll_mean_4,Sales_roll_mean_12,Sales_roll_std_4,Sales_roll_std_12,Quantity_lag_1,Quantity_lag_4,Quantity_lag_12,Quantity_roll_mean_4,Quantity_roll_mean_12,Quantity_roll_std_4,Quantity_roll_std_12
APAC,Bookcases,2011,21,5,2,Autumn,0.5,0.035,715.0599,5,0.5680647467311558,-0.8229838658936564,2011-21,2011-05-23,492.9811624051472,246.4905812025736,246.4905812025736,762.5763609019302,525.3956609019302,232.94833102108075,273.65375703060437,14.0,4.0,7.0,8.5,6.666666666666667,4.358898943540674,3.8455011101128007
APAC,Bookcases,2011,22,6,2,Spring,0.5,0.035,659.8848812025735,11,0.46472317204376906,-0.8854560256532096,2011-22,2011-05-30,715.0599,1058.2005812025736,369.9405812025736,662.9974359019302,549.5576859019302,124.20787137480251,271.47167829078154,5.0,10.0,5.0,8.75,7.166666666666667,4.5,3.9962103260085007
APAC,Bookcases,2011,23,6,2,Autumn,1.0,0.235,573.1505999999999,5,0.35460488704253584,-0.9350162426854147,2011-23,2011-06-06,659.8848812025735,784.0638,592.2105812025736,610.2691359019302,547.969354135049,97.59965993192185,271.2551090090522,11.0,5.0,7.0,8.75,7.0,4.5,4.0451991747794525
APAC,Bookcases,2011,25,6,2,Summer,0.6,0.13999999999999999,1902.5971624051472,19,0.12053668025532308,-0.992708874098054,2011-25,2011-06-20,573.1505999999999,492.9811624051472,492.9811624051472,962.6731359019302,665.4373541350491,629.3324567484709,474.4164550667929,5.0,14.0,13.0,10.0,7.5,6.6332495807108,5.090097337879788
APAC,Bookcases,2011,26,6,2,Summer,1.0,0.35,566.787,2,-3.216245299353273e-16,-1.0,2011-26,2011-06-27,1902.5971624051472,715.0599,121.59,925.6049109019302,702.537104135049,652.7110969227075,444.48396551405466,19.0,5.0,1.0,9.25,7.583333333333333,7.5,4.9810245994781095
APAC,Bookcases,2011,27,7,3,Winter,1.0,0.4,180.396,2,-0.12053668025532283,-0.992708874098054,2011-27,2011-07-04,566.787,659.8848812025735,246.4905812025736,805.7326906012868,697.029222368168,753.9555950768636,451.01046268855254,2.0,11.0,4.0,7.0,7.416666666666667,8.12403840463596,5.142661732699293
APAC,Bookcases,2011,28,7,3,Summer,0.0,0.0,490.57058120257363,16,-0.23931566428755743,-0.9709418174260521,2011-28,2011-07-11,180.396,573.1505999999999,394.065,785.0876859019302,705.0713541350491,763.5170767571078,445.94909532942813,2.0,5.0,5.0,9.75,8.333333333333334,9.03234926989282,5.630006189780762
APAC,Bookcases,2011,29,7,3,Winter,1.0,0.4,246.4905812025736,7,-0.3546048870425356,-0.9350162426854148,2011-29,2011-07-18,490.57058120257363,1902.5971624051472,790.674,371.0610406012868,659.7227359019302,186.60308905943845,463.76591843230153,16.0,19.0,7.0,6.75,8.333333333333334,6.601767440112787,5.630006189780762
APAC,Bookcases,2011,31,8,3,Summer,0.5,0.1375,1255.7446624051472,17,-0.5680647467311556,-0.8229838658936566,2011-31,2011-08-01,246.4905812025736,566.787,246.4905812025736,543.3004562025735,743.8272426688113,493.33995476355926,473.42711876333163,7.0,2.0,4.0,10.5,9.416666666666666,7.234178138070235,5.961365513695564
APAC,Bookcases,2011,32,8,3,Winter,1.0,0.1,327.402,1,-0.663122658240795,-0.7485107481711013,2011-32,2011-08-08,1255.7446624051472,180.396,1058.2005812025736,580.0519562025736,682.9273609019301,461.75850143709715,476.30580743375367,17.0,2.0,10.0,10.25,8.666666666666666,7.632168761236874,6.429100507328636
